Page,Index,Title,DOI,PDFLink,Downloaded
2,1,Design and Digital Predistortion Linearization of a Wideband Outphasing Amplifier Supporting 200 MHz Bandwidth,10.1109/PAWR46754.2020.9035997,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9035997,0
2,2,Design of Class-AB Power Amplifier using GaN HEMT Technology,10.1109/I2CT42659.2018.9058091,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9058091,0
2,3,New compact Doherty power amplifier design for handset applications,10.1109/PAWR.2017.7875579,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7875579,0
2,4,Power amplifier design using GaN HEMT in class-AB mode for LTE communication band,10.1109/IWCMC.2015.7289166,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7289166,0
2,5,A broadband monolithic S-band class-E power amplifier,10.1109/RFIC.2002.1011509,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1011509,0
2,6,Low-Power High-Efficiency Class D Audio Power Amplifiers,10.1109/JSSC.2009.2032729,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5342351,0
2,7,New modular two stage switching converter for high power stereo audio amplifier,10.1109/IECON.2008.4758063,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4758063,0
2,8,Minimization of Bias-Induced Memory Effects in UHF Radio Frequency High Power Amplifiers with Broadband Signals,10.1109/RWS.2007.351845,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4160728,0
2,9,Derivation of a behavioral RF power amplifier model with low normalized mean-square error,10.1109/EUMC.2007.4405436,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4405436,0
2,10,Derivation of a behavioral RF power amplifier model with low normalized mean-square error,10.1109/EMICC.2007.4412755,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4412755,0
2,11,Design and implementation of a DC-DC flyback converter to feed a class a tube amplifier,10.1109/COBEP.2011.6085293,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6085293,0
2,12,A 5.8 GHz Linear Power Amplifier in a Standard 90nm CMOS Process using a 1V Power Supply,10.1109/RFIC.2007.380917,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4266465,0
