Page,Index,Title,DOI,PDFLink,Downloaded
3,39,120 GHz Sub-2 V Thin-Film Lithium Niobate Modulators on Silicon Substrate Using Thick Capacitively Loaded Slow Wave Electrodes,10.1109/JPHOT.2024.3477311,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10711217,0
3,40,Adaptive Noise Cancellation Techniques in Sigma–Delta Analog-to-Digital Converters,10.1109/TCSI.2007.904655,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4303293,0
3,41,Linearization of an interferometric modulator at microwave frequencies by polarization mixing,10.1109/BAODS.1990.205503,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=205503,0
3,42,An Inverter-Based Continuous Time Sigma Delta ADC With Latency-Free DAC Calibration,10.1109/TCSI.2020.3009652,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9146678,0
3,43,A Comparative Study on Excess-Loop-Delay Compensation Techniques for Continuous-Time Sigma–Delta Modulators,10.1109/TCSI.2008.925362,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4526189,0
3,44,An audio ADC Delta-Sigma modulator with 100-dB peak SINAD and 102-dB DR using a second-order mismatch-shaping DAC,10.1109/4.910472,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=910472,0
3,45,Detection and Removal of Limit Cycles in Sigma Delta Modulators,10.1109/TCSI.2008.925078,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4518931,0
3,46,Integrated Ferroelectric BaTiO3/Si Plasmonic Modulator for 100 Gbit/s and Beyond,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8385754,0
3,47,A Mach-Zehnder modulator model for the design of optical-fiber analog transmitters,10.1109/INMMIC.2011.5773315,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5773315,0
3,48,Photonic Analog-to-Digital Conversion Using Electro-Absorption Modulator and Supercontinuum Light,10.1109/ECOC.2006.4800972,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4800972,0
3,49,A 1-V 92.28-dB DR Sigma-Delta Modulator for Sensing Applications,10.1109/ICICM56102.2022.10011391,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10011391,0
3,50,SNR Analysis and Estimation of Non-idealities in Continuous-Time Sigma-Delta Modulators,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8991176,0
3,51,Gain Limit in Analog Links Using Electroabsorption Modulators,10.1109/LPT.2006.883292,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1703637,0
3,52,A delta-sigma modulator with a phase-to-digital and digital-to-phase quantizer,10.1109/NEWCAS.2011.5981292,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5981292,0
3,53,Superconducting High-Resolution Low-Pass Analog-to-Digital Converters,10.1109/TASC.2007.898613,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4277786,0
3,54,A comparison of continuous time sigma delta modulator simulation methods,10.1109/MWSCAS.2014.6908460,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6908460,0
3,55,Investigation of integral nonlinearity of second order sigma-delta modulator,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6192430,0
3,56,Continuous time delta sigma modulators with reduced clock jitter sensitivity,10.1109/ISCAS.2006.1693847,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1693847,0
